siparis_id,musteri_id,urun_id,kategori,fiyat,adet,tarih,durum
10001,18,40,Spor,3375.68,2,2024-01-01 00:00:00,Kargoda
10002,155,37,Elektronik,4804.91,1,2024-01-01 01:00:00,Teslim
10003,131,28,Giyim,1886.02,6,2024-01-01 02:00:00,Teslim
10004,88,44,Ev,2154.15,7,2024-01-01 03:00:00,Kargoda
10005,87,7,Kozmetik,4070.01,7,2024-01-01 04:00:00,Teslim
10006,171,46,Elektronik,2553.52,9,2024-01-01 05:00:00,Kargoda
10007,18,42,Ev,3696.04,5,2024-01-01 06:00:00,Teslim
10008,139,25,Elektronik,2325.56,8,2024-01-01 07:00:00,Teslim
10009,41,36,Kozmetik,1116.7,7,2024-01-01 08:00:00,Teslim
10010,19,26,Kozmetik,3738.76,3,2024-01-01 09:00:00,Kargoda
10011,105,14,Ev,699.22,8,2024-01-01 10:00:00,Teslim
10012,195,40,Giyim,1032.99,1,2024-01-01 11:00:00,İptal
10013,147,13,Elektronik,3152.78,6,2024-01-01 12:00:00,Kargoda
10014,152,16,Spor,3748.99,9,2024-01-01 13:00:00,Teslim
10015,143,26,Kozmetik,4478.71,6,2024-01-01 14:00:00,Teslim
10016,157,42,Giyim,1399.3,9,2024-01-01 15:00:00,Kargoda
10017,103,19,Ev,598.09,1,2024-01-01 16:00:00,İptal
10018,26,25,Kozmetik,4782.43,5,2024-01-01 17:00:00,Teslim
10019,168,3,Kozmetik,814.39,8,2024-01-01 18:00:00,Teslim
10020,90,6,Ev,1028.45,6,2024-01-01 19:00:00,Teslim
10021,100,3,Giyim,1492.08,8,2024-01-01 20:00:00,Teslim
10022,74,4,Kozmetik,2670.49,5,2024-01-01 21:00:00,Kargoda
10023,37,43,Kozmetik,4419.99,7,2024-01-01 22:00:00,Teslim
10024,185,42,Ev,3814.7,4,2024-01-01 23:00:00,Teslim
10025,156,41,Elektronik,3555.38,8,2024-01-02 00:00:00,Teslim
10026,129,3,Ev,917.14,2,2024-01-02 01:00:00,Teslim
10027,81,4,Kozmetik,1820.53,3,2024-01-02 02:00:00,Teslim
10028,164,14,Spor,2418.1,1,2024-01-02 03:00:00,İptal
10029,109,28,Ev,779.76,7,2024-01-02 04:00:00,Teslim
10030,89,17,Giyim,1403.48,3,2024-01-02 05:00:00,Teslim
10031,90,24,Ev,1576.25,3,2024-01-02 06:00:00,Kargoda
10032,46,9,Elektronik,680.02,8,2024-01-02 07:00:00,Teslim
10033,19,36,Elektronik,2773.69,4,2024-01-02 08:00:00,Teslim
10034,111,16,Kozmetik,3539.89,2,2024-01-02 09:00:00,Teslim
10035,177,4,Spor,396.16,1,2024-01-02 10:00:00,İade
10036,13,37,Spor,2431.56,3,2024-01-02 11:00:00,Kargoda
10037,171,45,Ev,3921.95,9,2024-01-02 12:00:00,Teslim
10038,165,1,Elektronik,3752.55,5,2024-01-02 13:00:00,Teslim
